RUN	NonFunctional.NFTDefinitionLayer.apiSimulation	apisimulation	1604625681696	 	3.0.2
USER	Positive: Fetch 10 pokemon characters and validate the schema	79	START	1604625689687	1604625689687
REQUEST	78		GET /api/v2/pokemon/	1604625689604	1604625689698	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	78	END	1604625689588	1604625689703
USER	Positive: Fetch 10 pokemon characters and validate the schema	80	START	1604625689788	1604625689788
REQUEST	79		GET /api/v2/pokemon/	1604625689706	1604625689805	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	79	END	1604625689687	1604625689806
USER	Positive: Fetch 10 pokemon characters and validate the schema	81	START	1604625689888	1604625689888
REQUEST	80		GET /api/v2/pokemon/	1604625689808	1604625689905	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	80	END	1604625689788	1604625689906
USER	Positive: Fetch 10 pokemon characters and validate the schema	82	START	1604625689987	1604625689987
REQUEST	81		GET /api/v2/pokemon/	1604625689916	1604625690014	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	81	END	1604625689888	1604625690016
USER	Positive: Fetch 10 pokemon characters and validate the schema	83	START	1604625690088	1604625690088
REQUEST	82		GET /api/v2/pokemon/	1604625690001	1604625690093	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	82	END	1604625689987	1604625690094
USER	Positive: Fetch 10 pokemon characters and validate the schema	84	START	1604625690187	1604625690187
REQUEST	83		GET /api/v2/pokemon/	1604625690105	1604625690197	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	83	END	1604625690088	1604625690198
USER	Positive: Fetch 10 pokemon characters and validate the schema	85	START	1604625690287	1604625690287
REQUEST	84		GET /api/v2/pokemon/	1604625690206	1604625690311	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	84	END	1604625690187	1604625690311
USER	Positive: Fetch 10 pokemon characters and validate the schema	86	START	1604625690388	1604625690388
REQUEST	85		GET /api/v2/pokemon/	1604625690302	1604625690397	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	85	END	1604625690287	1604625690398
USER	Positive: Fetch 10 pokemon characters and validate the schema	87	START	1604625690486	1604625690486
REQUEST	86		GET /api/v2/pokemon/	1604625690403	1604625690498	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	86	END	1604625690388	1604625690503
USER	Positive: Fetch 10 pokemon characters and validate the schema	88	START	1604625690588	1604625690588
REQUEST	87		GET /api/v2/pokemon/	1604625690503	1604625690596	OK	 
USER	Positive: Fetch 10 pokemon characters and validate the schema	87	END	1604625690486	1604625690597
USER	Positive: Fetch 10 pokemon characters and validate the schema	89	START	1604625690688	1604625690688
